〇	[〇·ol·ling2]
㐀	[卝一·hgu·qiu1]
㐁	[一囗人·gnuu·tian4]
㐂	[七七七·fffq·]
㐃	[人丅·uju·]
㐄	[㐄·fu·kua4]
㐅	[乂·ti·wu3]
㐆	[⺁彐·rbbu·yin3]
㐇	[九乙·rbij·]
㐈	[入乙·vbir·]
㐉	[丁乙·ebid·]
㐊	[士乙·jbi·]
㐋	[土乙·jbi·]
㐌	[𠂉也·pbe·ta1]
㐍	[爫乙·vbi·]
㐎	[文乙·ybiw·]
㐏	[一{五下}乙·gdbi·]
㐐	[女又乙·cdbi·]
㐑	[夂⺀乙·vzbi·]
㐒	[刀口乙·dobd·]
㐓	[丁口乙·eobd·]
㐔	[亠口乙·yobi·]
㐕	[由乙·kbio·]
㐖	[士口乚·jocu·ye4]
㐗	[耂匕乙·jvbi·]
㐘	[米乙·xbim·]
㐙	[一口䒑乙·goxb·]
㐚	[一{五下}口乙·gdob·]
㐛	[亻𠂇口乙·thob·]
㐜	[{于下}{四点}丶九·ixwr·chou2]
㐝	[扌勹口乙·fsob·]
㐞	[其乙·hbiq·]
㐟	[非乙·lbif·]
㐠	[爫子乚乙·vbcb·]
㐡	[九而大·rgfj·nuo4]
㐢	[氵爫子乙·zvbb·]
㐣	[广車乙·wjbg·]
㐤	[九十八·retj·qiu2]
㐥	[金且力乙·vncb·]
㐦	[𦥑一手乙·ugrb·]
㐧	[丶乛亅丿·wbbp·]
㐨	[予予·bbyy·xu4]
㐩	[キ丨キ丨·fkfk·xing2]
㐪	[亠屮丶·yawu·]
㐫	[亠乂凵·ytau·xiong1]
㐬	[亠厶{巟下}·yavu·liu2]
㐭	[亠囗口·ynov·lin3]
㐮	[衣八{冓上}·wthy·xiang1]
㐯	[亠口禾日·york·yong1]
㐰	[亻口·tov·xin4]
㐱	[人彡·uss·zhen3]
㐲	[亻大·tfd·dai4]
㐳	[亻兀·tgw·wu4]
㐴	[亻夕·tqx·pan1]
㐵	[亻一{于下}·tgiu·ru2]
㐶	[亻巳·tds·]
㐷	[亻马·tam·ma3]
㐸	[亻欠·tqq·ci4_qian4]
㐹	[亻气·tpq·yi4]
㐺	[亻亻人·ttuu·yin2_zhong4]
㐻	[亻冂人·tmuu·nei4]
㐼	[亻丿廾·tphv·cheng4]
㐽	[亻几乂·tqti·feng1]
㐾	[亻一兀·tggw·]
㐿	[亻手·trs·]
㑀	[亻大丶·tfwu·]
㑁	[亻屮凵·taau·zhuo1]
㑂	[亻一冂人·tgmu·fang3]
㑃	[亻幺力·tacl·ao3]
㑄	[亻母·tcm·wu3]
㑅	[亻𠂉上·tpls·zuo4]
㑆	[亻口儿·tove·]
㑇	[亻⺈彐·tqbu·zhou4]
㑈	[亻七小·tfcx·dong4]
㑉	[亻几歹·tqgd·su4]
㑊	[亻亦·tyi·yi4]
㑋	[亻冂龷·tmhu·qiong2]
㑌	[亻匚王·tfev·kuang1_wang1]
㑍	[亻耒·til·lei4]
㑎	[亻巛山·tcmv·nao3]
㑏	[亻宀寸·twic·zhu4]
㑐	[亻上小·tlcx·shu1]
㑑	[亻自·ttz·]
㑒	[人一口人·ugou·]
