〇	[〇,ol,líng]
㐀	[卝一,hgu,qiū]
㐁	[一囗人,gnuu,tiǎn_tiàn]
㐂	[七七七,fffq,xǐ]
㐃	[人丅,uju,]
㐄	[㐄,fu,kuà]
㐅	[乂,ti,wǔ]
㐆	[⺁彐,rbbu,yǐn_yī]
㐇	[九乙,rbij,jiǔ]
㐈	[入乙,vbir,rù]
㐉	[丁乙,ebid,dīng]
㐊	[士乙,jbi,shì]
㐋	[土乙,jbi,tǔ]
㐌	[𠂉也,pbe,sì_yí_tā]
㐍	[爫乙,vbi,zhǎo]
㐎	[文乙,ybiw,wén]
㐏	[一{五下}乙,gdbi,wǔ]
㐐	[女又乙,cdbi,nú]
㐑	[夂⺀乙,vzbi,dōng]
㐒	[刀口乙,dobd,zhào]
㐓	[丁口乙,eobd,kě]
㐔	[亠口乙,yobi,xiǎng]
㐕	[由乙,kbio,]
㐖	[士口乚,jocu,yè]
㐗	[耂匕乙,jvbi,lǎo]
㐘	[米乙,xbim,mǐ]
㐙	[一口䒑乙,goxb,dòu]
㐚	[一{五下}口乙,gdob,wú]
㐛	[亻𠂇口乙,thob,yòu]
㐜	[{于下}{四点}丶九,ixwr,chóu]
㐝	[扌勹口乙,fsob,jū]
㐞	[其乙,hbiq,qí]
㐟	[非乙,lbif,fēi]
㐠	[爫子乚乙,vbcb,]
㐡	[九而大,rgfj,nuò]
㐢	[氵爫子乙,zvbb,fú]
㐣	[广車乙,wjbg,kù]
㐤	[九十八,retj,qiú]
㐥	[金且力乙,vncb,chú]
㐦	[𦥑一手乙,ugrb,jǔ]
㐧	[丶乛亅丿,wbbp,]
㐨	[予予,bbyy,xù]
㐩	[キ丨キ丨,fkfk,xíng]
㐪	[亠屮丶,yawu,]
㐫	[亠乂凵,ytau,xiōng]
㐬	[亠厶{巟下},yavu,liú]
㐭	[亠囗口,ynov,lǐn]
㐮	[衣八{冓上},wthy,xiāng]
㐯	[亠口禾日,york,yōng]
㐰	[亻口,tov,xìn]
㐱	[人彡,uss,zhěn]
㐲	[亻大,tfd,dài_fú]
㐳	[亻兀,tgw,wù]
㐴	[亻夕,tqx,pān]
㐵	[亻一{于下},tgiu,rú]
㐶	[亻巳,tds,]
㐷	[亻马,tam,mǎ_mà_mián]
㐸	[亻欠,tqq,qiàn_cì]
㐹	[亻气,tpq,yì]
㐺	[亻亻人,ttuu,zhòng_yín]
㐻	[亻冂人,tmuu,nèi]
㐼	[亻丿廾,tphv,chèng_zhěng]
㐽	[亻几乂,tqti,fēng]
㐾	[亻一兀,tggw,ruǎn_yuàn]
㐿	[亻手,trs,]
㑀	[亻大丶,tfwu,tài]
㑁	[亻屮凵,taau,zhuō]
㑂	[亻一冂人,tgmu,fǎng_páng]
㑃	[亻幺力,tacl,ǎo]
㑄	[亻母,tcm,wǔ]
㑅	[亻𠂉上,tpls,zuò]
㑆	[亻口儿,tove,]
㑇	[亻⺈彐,tqbu,zhòu]
㑈	[亻七小,tfcx,dòng]
㑉	[亻几歹,tqgd,sù]
㑊	[亻亦,tyi,yì]
㑋	[亻冂龷,tmhu,jiòng_kǒng_qióng]
㑌	[亻匚王,tfev,wāng_kuāng]
㑍	[亻耒,til,lěi_lèi]
㑎	[亻巛山,tcmv,nǎo]
㑏	[亻宀寸,twic,zhù]
㑐	[亻上小,tlcx,shū]
㑑	[亻自,ttz,lǎn_jì]
㑒	[人一口人,ugou,]
㑓	[亻厶𠂇又,tahd,]
㑔	[亻丆贝,tgmb,xǔ]
㑕	[亻山夕,tmqx,]
㑖	[亻亻口丨,ttok,]
㑗	[亻身,tts,shēn]
㑘	[亻戈廾,tfhv,jiè]
㑙	[亻耳乚,thcu,dié_yǒng]
㑚	[亻キ阝,tbfb,nuó]
㑛	[亻木口,tiov,sù]
㑜	[亻扌⺁丅,tfrj,yì_chì]
㑝	[亻王廾,tehv,lòng]
㑞	[亻火廾,txhv,yìng]
㑟	[亻亻工八,ttit,běng_bó_pěng]
㑠	[亻〢又土,tldj,]
㑡	[亻彐厶卩,tbaa,]
㑢	[亻土厶刀,tjad,]
㑣	[亻木木,tiiv,lán]
㑤	[亻艹田,thkt,miáo]
㑥	[亻日勹{两撇},tkss,yì]
㑦	[亻户犬,tzjq,lì]
㑧	[亻禾子,trbz,jì]
㑨	[亻口矢,topi,yǔ]
㑩	[亻罒夕,tmqx,luó]
㑪	[亻文{介下}二,tyte,chái]
㑫	[亻人乛心,tubr,]
㑬	[亻女古,tcjg,]
㑭	[亻田丌,tkhj,]
㑮	[亻冖車,tqjc,hún_wén]
㑯	[亻頁,tgy,xǔ]
㑰	[亻{母框}豕,tcgs,huì]
㑱	[亻矛木,tbiv,rǎo]
㑲	[亻十䒑十,texe,]
㑳	[亻勹勹屮,tssa,zhòu]
㑴	[亻彐巾又,tbmd,]
㑵	[亻疒矢,twpi,hàn_jí_jié_zhǎ_zí]
㑶	[亻气米,tpxm,xì]
㑷	[亻厶匕匕,tavv,tài]
㑸	[亻古丁口,tjeo,ǎi_yáo_yóu]
㑹	[人一由曰,ugkk,huì]
㑺	[亻隹乃,ttan,jùn]
㑻	[亻宀丿山,twpm,mà]
㑼	[亻田夂口,tkvo,lüè]
㑽	[亻⺌口土,tnoj,táng]
㑾	[亻{炙上}言,tsyv,xiáo_yáo]
㑿	[亻巛日木,tcki,zhào]
㒀	[亻亠冂古,tymj,zhǎ_zhāi]
㒁	[亻囗䒑十,tnxe,yǔ_yùn]
㒂	[亻艹耂日,thjk,kù_zhuó]
㒃	[亻弋二貝,tfen,èr]
㒄	[亻{炙上}犬灬,tsjs,nàng_nèn_rǎn]
㒅	[亻衣夕夕,twqq,qǐ]
㒆	[亻人口羽,tuoc,chì_kè_xì_xiào_yàn]
㒇	[亻𠂉一灬,tpgs,mù_wǔ]
㒈	[亻乛耳攵,tbhp,hàn]
㒉	[亻⺌口木,tnoi,tǎng]
㒊	[亻刀丿止,tdpl,sè]
㒋	[亻其⺁丅,thrj,]
㒌	[亻火冖几,txqq,qióng]
㒍	[亻厶厶糸,taaa,léi_lěi]
㒎	[亻天非,tflf,sǎ_sà_tàn]
㒏	[亻宀八⺀,twtz,]
㒐	[亻⺮勹日,tpsk,xùn]
㒑	[亻匚氵隹,tfzt,huì_kuǐ]
㒒	[亻〢羊八,tlxt,pú]
㒓	[亻土羊辶,tjxz,tà]
㒔	[亻罒勹虫,tmsl,shǔ_dú_shú_tù]
㒕	[亻亠丿隹,typt,yāng]
㒖	[亻艹禺,thky,ǒu]
㒗	[亻艹厶土,thaj,tái]
㒘	[亻臣又立,tfdy,]
㒙	[亻糹白巾,taum,mián]
㒚	[亻爫彐心,tvbr,wěn_yìn]
㒛	[亻羽隹,tctw,diào]
㒜	[亻𦥑一八,tugt,yú_yǔ]
㒝	[亻艹戊丶,thfw,miè_wà]
㒞	[亻山隹{雋下},tmtm,jùn_kě]
㒟	[亻衣馬,twem,niǎo]
㒠	[亻⺊非一,tllg,xiè]
㒡	[亻爫丿糸,tvpa,yóu]
㒢	[亻人口冊,tuom,]
㒣	[亻广隹心,twtr,]
㒤	[亻耳耳耳,thhh,shè_chè]
㒥	[亻山口䒑,tmox,fēng]
㒦	[亻田田土,tkkj,lěi_lèi]
㒧	[亻亠厶隹,tyat,lì]
㒨	[亻𦥑大㔾,tufb,]
㒩	[亻{母框}虫虫,tcll,luǒ]
㒪	[人臣止豕,uflg,]
㒫	[匚一儿,fgvf,jì]
㒬	[一兀王,ggev,]
㒭	[口儿口儿,ovov,]
㒮	[一兀豕,gggs,]
㒯	[⺌兀龷十,nghe,]
㒰	[入工,vigr,quán]
㒱	[入夕,vqxr,mèng]
㒲	[入日,vkvr,cái]
㒳	[冂丨入入,mkvv,liǎng]
㒴	[入屮凵,vaar,gǔ]
㒵	[白八,utub,mào]
㒶	[八白,tub,]
㒷	[冂人一八,mugt,guǎ_xìng_xǔ]
㒸	[䒑{豕下},xru,suì_xuán]
㒹	[十且且八,ennt,diān]
㒺	[冂䒑人乚,mxuc,]
㒻	[冂二見,menj,mào]
㒼	[艹一入入,hgvv,mán]
㒽	[冂二夫㔾,mejb,quān]
㒾	[冂二𠂉也,mepb,shì]
㒿	[冂二厶隹,meat,lí]
㓀	[冖卜,qlb,]
㓁	[冖八,qtu,wǎng]
㓂	[冖一兀女,qggc,kòu]
㓃	[冖言丿七,qypf,chuí_dù_zhà]
㓄	[厶厶儿,aavi,zhèn]
㓅	[冫丁,xeds,tīng]
㓆	[冫人匕,xuvs,]
㓇	[冫夭,xrys,]
㓈	[冫石,xgvs,bèi_bìng_fèi_yè]
㓉	[冫千口,xros,huàn_huó_huò]
㓊	[冫冂口,xmos,dòng]
㓋	[冫龷八,xhts,gòng]
㓌	[冫人王,xues,chēng]
㓍	[冫亠儿,xyvs,]
㓎	[冫彐又,xbds,qīn_qǐn_qìn]
㓏	[冫冂口,xmos,jiǒng]
㓐	[冫土土,xjjs,lù]
㓑	[冫土十,xjes,xìng]
㓒	[冫七丶,xfws,]
㓓	[冫十十,xees,nán]
㓔	[冫身寸,xtis,xiè]
㓕	[冫戊火,xfxs,]
㓖	[冫日十,xkes,bì_bié]
㓗	[冫丰糸,xias,jié_qǐ]
㓘	[几歹丶,qgwj,sù]
㓙	[文凵,yauw,]
㓚	[工刂,ildg,gōng]
㓛	[工刀,iddg,]
㓜	[幺刀,addy,yòu]
㓝	[キ丨刂,fkld,xíng]
㓞	[丰刀,iddf,qì_qià_yáo]
㓟	[皮刂,dldp,pí]
㓠	[⺊口刂,lold,diàn_diǎn]
㓡	[缶刂,pldf,fǔ_fǒu_guā]
㓢	[夂口刂,vold,luò]
㓣	[人一口刂,ugol,qià_gē]
㓤	[士口刂,jold,jié_qià]
㓥	[⺌彐刂,nbld,tāng]
㓦	[丆日刂,gkld,bāi]
㓧	[人丶口刂,uwol,yǎn_gān]
㓨	[大人刂,fuld,cí_cì]
㓩	[⺈用刂,qsld,jiē_xuān]
㓪	[丶彐厶刀,wbad,lǎng]
㓫	[大一刂,fgld,]
㓬	[丷夫刀刂,xjdl,]
㓭	[曰勹乚刂,kscl,hé_shé]
㓮	[⺆土口刂,sjol,]
㓯	[巛田刂,cklc,lí]
㓰	[一田凵刂,gkal,huà]
㓱	[人一刂刂,ugll,tóu_shū]
㓲	[户冊刂,zmlh,piàn_piān]
㓳	[日一龰刂,kgll,dī]
㓴	[而大刂,gfle,jùn_ruǎn]
㓵	[吅一刂,oglx,è]
㓶	[丰刀刂,idlf,qiè]
㓷	[自木刂,tilz,yì]
㓸	[匚コ刂,fdlf,jué_zhuó_dōu_zhuō]
㓹	[厂火刂,gxlc,ruì_cuì_jì]
㓺	[虍文刂,lylh,jiàn_jiān_qián]
㓻	[罒一刂,mglw,]
