〇	[〇·Ol·líng]
㐀	[卝一·HGu·qiū]
㐁	[一囗人·GNUu·tiàn]
㐂	[七七七·FFFq·]
㐃	[人丅·UJu·]
㐄	[㐄·Fu·kuà]
㐅	[乂·Ti·wǔ]
㐆	[⺁彐·RBBu·yǐn]
㐇	[九乙·RBij·]
㐈	[入乙·VBir·]
㐉	[丁乙·EBid·]
㐊	[士乙·JBi·]
㐋	[土乙·JBi·]
㐌	[𠂉也·PBe·tā]
㐍	[爫乙·VBi·]
㐎	[文乙·YBiw·]
㐏	[一{五下}乙·GDBi·]
㐐	[女又乙·CDBi·]
㐑	[夂⺀乙·VZBi·]
㐒	[刀口乙·DOBd·]
㐓	[丁口乙·EOBd·]
㐔	[亠口乙·YOBi·]
㐕	[由乙·KBio·]
㐖	[士口乚·JOCu·yè]
㐗	[耂匕乙·JVBi·]
㐘	[米乙·XBim·]
㐙	[一口䒑乙·GOXB·]
㐚	[一{五下}口乙·GDOB·]
㐛	[亻𠂇口乙·THOB·]
㐜	[{于下}{四点}丶九·IXWR·chóu]
㐝	[扌勹口乙·FSOB·]
㐞	[其乙·HBiq·]
㐟	[非乙·LBif·]
㐠	[爫子乚乙·VBCB·]
㐡	[九而大·RGFj·nuò]
㐢	[氵爫子乙·ZVBB·]
㐣	[广車乙·WJBg·]
㐤	[九十八·RETj·qiú]
㐥	[金且力乙·VNCB·]
㐦	[𦥑一手乙·UGRB·]
㐧	[丶乛亅丿·WBBP·]
㐨	[予予·BByy·xù]
㐩	[キ丨キ丨·FKFK·xíng]
㐪	[亠屮丶·YAWu·]
㐫	[亠乂凵·YTAu·xiōng]
㐬	[亠厶{巟下}·YAVu·liú]
㐭	[亠囗口·YNOv·lǐn]
㐮	[衣八{冓上}·WTHy·xiāng]
㐯	[亠口禾日·YORK·yōng]
㐰	[亻口·TOv·xìn]
㐱	[人彡·USs·zhěn]
㐲	[亻大·TFd·dài]
㐳	[亻兀·TGw·wù]
㐴	[亻夕·TQx·pān]
㐵	[亻一{于下}·TGIu·rú]
㐶	[亻巳·TDs·]
